file,speaker,corrupted,sentence_code,sentence,emotion_code,emotion
1001/1001_IEO_NEU_XX.wav,1001,False,IEO,It's eleven o'clock,NEU,neutral
1001/1001_IEO_HAP_LO.wav,1001,False,IEO,It's eleven o'clock,HAP,happy/joy
1001/1001_IEO_HAP_MD.wav,1001,False,IEO,It's eleven o'clock,HAP,happy/joy
1001/1001_IEO_HAP_HI.wav,1001,False,IEO,It's eleven o'clock,HAP,happy/joy
1001/1001_IEO_SAD_LO.wav,1001,False,IEO,It's eleven o'clock,SAD,sad
1001/1001_IEO_SAD_MD.wav,1001,False,IEO,It's eleven o'clock,SAD,sad
1001/1001_IEO_SAD_HI.wav,1001,False,IEO,It's eleven o'clock,SAD,sad
1001/1001_IEO_ANG_LO.wav,1001,False,IEO,It's eleven o'clock,ANG,anger
1001/1001_IEO_ANG_MD.wav,1001,False,IEO,It's eleven o'clock,ANG,anger
1001/1001_IEO_ANG_HI.wav,1001,False,IEO,It's eleven o'clock,ANG,anger
1001/1001_IEO_FEA_LO.wav,1001,False,IEO,It's eleven o'clock,FEA,fear
1001/1001_IEO_FEA_MD.wav,1001,False,IEO,It's eleven o'clock,FEA,fear
1001/1001_IEO_FEA_HI.wav,1001,False,IEO,It's eleven o'clock,FEA,fear
1001/1001_IEO_DIS_LO.wav,1001,False,IEO,It's eleven o'clock,DIS,disgust
1001/1001_IEO_DIS_MD.wav,1001,False,IEO,It's eleven o'clock,DIS,disgust
1001/1001_IEO_DIS_HI.wav,1001,False,IEO,It's eleven o'clock,DIS,disgust
1001/1001_TIE_NEU_XX.wav,1001,False,TIE,That is exactly what happened,NEU,neutral
1001/1001_TIE_HAP_XX.wav,1001,False,TIE,That is exactly what happened,HAP,happy/joy
1001/1001_TIE_SAD_XX.wav,1001,False,TIE,That is exactly what happened,SAD,sad
1001/1001_TIE_ANG_XX.wav,1001,False,TIE,That is exactly what happened,ANG,anger
1001/1001_TIE_FEA_XX.wav,1001,False,TIE,That is exactly what happened,FEA,fear
1001/1001_TIE_DIS_XX.wav,1001,False,TIE,That is exactly what happened,DIS,disgust
1001/1001_IOM_NEU_XX.wav,1001,False,IOM,I'm on my way to the meeting,NEU,neutral
1001/1001_IOM_HAP_XX.wav,1001,False,IOM,I'm on my way to the meeting,HAP,happy/joy
1001/1001_IOM_SAD_XX.wav,1001,False,IOM,I'm on my way to the meeting,SAD,sad
1001/1001_IOM_ANG_XX.wav,1001,False,IOM,I'm on my way to the meeting,ANG,anger
1001/1001_IOM_FEA_XX.wav,1001,False,IOM,I'm on my way to the meeting,FEA,fear
1001/1001_IOM_DIS_XX.wav,1001,False,IOM,I'm on my way to the meeting,DIS,disgust
1001/1001_IWW_NEU_XX.wav,1001,False,IWW,I wonder what this is about,NEU,neutral
1001/1001_IWW_HAP_XX.wav,1001,False,IWW,I wonder what this is about,HAP,happy/joy
1001/1001_IWW_SAD_XX.wav,1001,False,IWW,I wonder what this is about,SAD,sad
1001/1001_IWW_ANG_XX.wav,1001,False,IWW,I wonder what this is about,ANG,anger
1001/1001_IWW_FEA_XX.wav,1001,False,IWW,I wonder what this is about,FEA,fear
1001/1001_IWW_DIS_XX.wav,1001,False,IWW,I wonder what this is about,DIS,disgust
1001/1001_TAI_NEU_XX.wav,1001,False,TAI,The airplane is almost full,NEU,neutral
1001/1001_TAI_HAP_XX.wav,1001,False,TAI,The airplane is almost full,HAP,happy/joy
1001/1001_TAI_SAD_XX.wav,1001,False,TAI,The airplane is almost full,SAD,sad
1001/1001_TAI_ANG_XX.wav,1001,False,TAI,The airplane is almost full,ANG,anger
1001/1001_TAI_FEA_XX.wav,1001,False,TAI,The airplane is almost full,FEA,fear
1001/1001_TAI_DIS_XX.wav,1001,False,TAI,The airplane is almost full,DIS,disgust
1001/1001_MTI_NEU_XX.wav,1001,False,MTI,Maybe tomorrow it will be cold,NEU,neutral
1001/1001_MTI_HAP_XX.wav,1001,False,MTI,Maybe tomorrow it will be cold,HAP,happy/joy
1001/1001_MTI_SAD_XX.wav,1001,False,MTI,Maybe tomorrow it will be cold,SAD,sad
1001/1001_MTI_ANG_XX.wav,1001,False,MTI,Maybe tomorrow it will be cold,ANG,anger
1001/1001_MTI_FEA_XX.wav,1001,False,MTI,Maybe tomorrow it will be cold,FEA,fear
1001/1001_MTI_DIS_XX.wav,1001,False,MTI,Maybe tomorrow it will be cold,DIS,disgust
1001/1001_IWL_NEU_XX.wav,1001,False,IWL,I would like a new alarm clock,NEU,neutral
1001/1001_IWL_HAP_XX.wav,1001,False,IWL,I would like a new alarm clock,HAP,happy/joy
1001/1001_IWL_SAD_XX.wav,1001,False,IWL,I would like a new alarm clock,SAD,sad
1001/1001_IWL_ANG_XX.wav,1001,False,IWL,I would like a new alarm clock,ANG,anger
1001/1001_IWL_FEA_XX.wav,1001,False,IWL,I would like a new alarm clock,FEA,fear
1001/1001_IWL_DIS_XX.wav,1001,False,IWL,I would like a new alarm clock,DIS,disgust
1001/1001_ITH_NEU_XX.wav,1001,False,ITH,I think I have a doctor's appointment,NEU,neutral
1001/1001_ITH_HAP_XX.wav,1001,False,ITH,I think I have a doctor's appointment,HAP,happy/joy
1001/1001_ITH_SAD_XX.wav,1001,False,ITH,I think I have a doctor's appointment,SAD,sad
1001/1001_ITH_ANG_XX.wav,1001,False,ITH,I think I have a doctor's appointment,ANG,anger
1001/1001_ITH_FEA_XX.wav,1001,False,ITH,I think I have a doctor's appointment,FEA,fear
1001/1001_ITH_DIS_XX.wav,1001,False,ITH,I think I have a doctor's appointment,DIS,disgust
1001/1001_DFA_NEU_XX.wav,1001,False,DFA,Don't forget a jacket,NEU,neutral
1001/1001_DFA_HAP_XX.wav,1001,False,DFA,Don't forget a jacket,HAP,happy/joy
1001/1001_DFA_SAD_XX.wav,1001,False,DFA,Don't forget a jacket,SAD,sad
1001/1001_DFA_ANG_XX.wav,1001,False,DFA,Don't forget a jacket,ANG,anger
1001/1001_DFA_FEA_XX.wav,1001,False,DFA,Don't forget a jacket,FEA,fear
1001/1001_DFA_DIS_XX.wav,1001,False,DFA,Don't forget a jacket,DIS,disgust
1001/1001_ITS_NEU_XX.wav,1001,False,ITS,I think I've seen this before,NEU,neutral
1001/1001_ITS_HAP_XX.wav,1001,False,ITS,I think I've seen this before,HAP,happy/joy
1001/1001_ITS_SAD_XX.wav,1001,False,ITS,I think I've seen this before,SAD,sad
1001/1001_ITS_ANG_XX.wav,1001,False,ITS,I think I've seen this before,ANG,anger
1001/1001_ITS_FEA_XX.wav,1001,False,ITS,I think I've seen this before,FEA,fear
1001/1001_ITS_DIS_XX.wav,1001,False,ITS,I think I've seen this before,DIS,disgust
1001/1001_TSI_NEU_XX.wav,1001,False,TSI,The surface is slick,NEU,neutral
1001/1001_TSI_HAP_XX.wav,1001,False,TSI,The surface is slick,HAP,happy/joy
1001/1001_TSI_SAD_XX.wav,1001,False,TSI,The surface is slick,SAD,sad
1001/1001_TSI_ANG_XX.wav,1001,False,TSI,The surface is slick,ANG,anger
1001/1001_TSI_FEA_XX.wav,1001,False,TSI,The surface is slick,FEA,fear
1001/1001_TSI_DIS_XX.wav,1001,False,TSI,The surface is slick,DIS,disgust
1001/1001_WSI_NEU_XX.wav,1001,False,WSI,We'll stop in a couple of minutes,NEU,neutral
1001/1001_WSI_HAP_XX.wav,1001,False,WSI,We'll stop in a couple of minutes,HAP,happy/joy
1001/1001_WSI_SAD_XX.wav,1001,False,WSI,We'll stop in a couple of minutes,SAD,sad
1001/1001_WSI_ANG_XX.wav,1001,False,WSI,We'll stop in a couple of minutes,ANG,anger
1001/1001_WSI_FEA_XX.wav,1001,False,WSI,We'll stop in a couple of minutes,FEA,fear
1001/1001_WSI_DIS_XX.wav,1001,False,WSI,We'll stop in a couple of minutes,DIS,disgust
1002/1002_IEO_NEU_XX.wav,1002,False,IEO,It's eleven o'clock,NEU,neutral
1002/1002_IEO_HAP_LO.wav,1002,False,IEO,It's eleven o'clock,HAP,happy/joy
1002/1002_IEO_HAP_MD.wav,1002,False,IEO,It's eleven o'clock,HAP,happy/joy
1002/1002_IEO_HAP_HI.wav,1002,False,IEO,It's eleven o'clock,HAP,happy/joy
1002/1002_IEO_SAD_LO.wav,1002,False,IEO,It's eleven o'clock,SAD,sad
1002/1002_IEO_SAD_MD.wav,1002,False,IEO,It's eleven o'clock,SAD,sad
1002/1002_IEO_SAD_HI.wav,1002,False,IEO,It's eleven o'clock,SAD,sad
1002/1002_IEO_ANG_LO.wav,1002,False,IEO,It's eleven o'clock,ANG,anger
1002/1002_IEO_ANG_MD.wav,1002,False,IEO,It's eleven o'clock,ANG,anger
1002/1002_IEO_ANG_HI.wav,1002,False,IEO,It's eleven o'clock,ANG,anger
1002/1002_IEO_FEA_LO.wav,1002,False,IEO,It's eleven o'clock,FEA,fear
1002/1002_IEO_FEA_MD.wav,1002,False,IEO,It's eleven o'clock,FEA,fear
